nickname,roi,mdd,sharpRatio,winRate
量化博士,221.41533322,45.799497,4.17015483,50.0
Nemo量化,220.27365695,13.704749,2.7607849,84.6847
wait_for_opportunity,219.28583661,28.460726,2.63797691,57.1429
多豆豆,217.869755,2.1817581,,66.6667
Copy1Coin,216.909602,22.320238,,42.1053
ImperialTrading,215.18690859,58.494293,,72.6087
公主请跟单,214.351064,12.57492,,54.6559
MyLDSS,214.263415,0.0,,66.6667
穩定暴擊,214.176019,3.4830217,,0.0
爱吹牛,212.688646,0.0,,50.0
主力顺风车,211.2655417,27.438332,5.65690285,97.9021
Gotomoom,209.80434903,50.406716,3.49272993,50.0
Captain_Calots,209.615991,0.0,,66.6667
SHTRADERDR,208.670408,2.2460519,,85.7143
卡西法,205.465821,12.918292,,98.9247
房子徐,203.720837,38.571598,,43.75
Parasitic2Trade,203.52955042,32.319255,2.3088276,82.0513
Jackthepirate,202.234155,9.6310883,,96.1538
我带你回本,197.40466805,21.171714,4.0226669,0.0
Soulastz,195.503613,76.149354,,94.7368
十年币圈俩茫茫,194.766971,46.627401,,76.1468
OneMillionUSDnsqcotr,192.45249365,11.129632,5.79001125,99.2647
记录自己丶,192.27496004,25.987469,,85.8974
挣钱,191.19513209,28.092006,5.38567479,96.7532
CryptoTradingBro,190.00856301,27.056036,,30.0
wulijj,188.971601,3.8150011,,100.0
King-of-Candles-VHR,188.933292,44.231538,,95.7692
newNormal,188.49397172,7.2725436,9.79323699,60.7007
3倍杠杆保平安,187.610237,5.1964733,,84.2105
楠楠的基地,186.631736,0.0,,75.0
MaestroAI,186.45738894,41.076065,3.91837,95.0
ryseuwu,186.29109655,65.057029,0.03875949,83.3333
多空双吃梭哈怪,185.717764,41.01104,,52.9412
UnityTrade,180.44710575,18.020672,7.89040639,90.0
康博,179.60295,10.846977,,99.7199
MonstersSignals,179.35350543,55.376595,2.17982843,49.4505
做空才是信仰-牛人榜,179.147104,21.637594,,40.0
巨覌,178.74992331,37.224357,3.00661961,53.8462
XMultichain_Pro,176.59067716,40.872927,4.40928113,79.8354
情况不对立马撤退,176.247779,2.8020667,,95.6522
大额,175.817425,27.525449,,90.625
Kingtour,174.5249003,15.836576,8.02733694,58.1081
inv0,172.666788,35.434809,,100.0
CHULTOOx5,171.07136962,2.1845354,6.59972672,78.1818
Marck3,170.25020654,43.65338,2.83351118,94.7368
金牌达人鹰眼,169.95577,3.6156436,,85.7143
短线趋势,169.75197,40.261015,,80.6452
fat_bear,166.84425164,19.291481,6.44662664,78.022
6lowpan,166.365211,18.086729,,92.0635
Jasmine_Gemhunter88,166.19652999,40.819556,5.0665001,78.8235
勇往直前小王子,163.41660955,27.270791,2.60795963,73.1707
AlphaBull,163.124923,32.356447,,96.1538
羽狗狗,160.3854536,26.248499,5.05328287,64.4444
知足常乐666,159.90183807,38.590317,2.30006698,88.8889
Aksay_alix,159.856218,32.306822,,81.9905
AKA所往,159.692906,100.0,-2.85685014,77.9935
juliancatano,159.45103074,45.184624,0.70582209,55.303
_VD_3520,158.35750777,40.100315,3.27147036,34.7826
ToRiches,156.5717351,23.703492,8.47952929,75.0896
光头用飘柔,155.64398464,15.797524,7.34213754,80.0
koreaKCY,154.92124471,31.3954,8.42209263,95.4286
量化飞天,154.21871,89.221733,,78.6561
