nickname,roi,mdd,sharpRatio,winRate,tradingDays
彬雨星,263.46325115,14.924875,8.73692541,91.3753,98
TradeLabs-2X-Monthly,261.923269,0.0,,96.9388,11
股汇币杀,259.791197,3.8569324,,84.0,9
Gotomoom,258.04393797,50.406716,3.49272993,50.0,194
Chipi_real,250.94352795,36.613308,2.47459389,65.3846,194
CryptoClub557,250.874896,100.0,,47.012,21
King-of-Candles-VHR,246.983814,44.231538,,95.7801,23
ImperialTrading,245.63953002,58.494293,,74.4589,28
TradeCircle,242.808065,4.4760833,,87.1795,15
量化博士,242.48489413,45.799497,4.17015483,50.0,46
Fight-club-Dubai,236.511545,14.809446,,57.1429,3
Nemo量化,236.0909837,13.704749,2.7607849,83.3333,94
墙头草1,235.65185735,55.902641,1.22250743,69.6203,66
SHTRADERDR,233.674175,0.602122,,100.0,5
九爷说币,233.272211,24.035278,,43.5897,8
平平淡淡的过,232.392066,63.150606,,97.1154,19
Anonymous-User-af658,232.279976,13.454156,,100.0,3
Soulastz,232.236589,76.149354,,96.3158,25
simplelee,231.88599397,78.65462,1.63247554,32.4324,84
zycparis,229.80703606,44.712031,2.73547447,95.5654,55
望月亭,226.326034,12.858233,,66.6667,2
TwitterUncleBFM,226.317795,8.3618977,,60.9091,23
wait_for_opportunity,222.42821217,28.460726,2.63797691,57.1429,115
主力顺风车,222.25253032,27.438332,5.65690285,97.9021,50
挣钱,221.07845774,28.092006,5.38567479,96.7532,45
Copy1Coin,216.909602,22.320238,,42.1053,5
B天天向上,213.93583267,64.510545,1.17756345,48.5981,82
公主请跟单,212.512972,12.57492,,54.6559,17
Parasitic2Trade,210.56136448,32.319255,2.3088276,82.0513,92
3倍杠杆保平安,209.997575,3.0324992,,84.2105,25
我带你回本,207.80827019,21.171714,4.0226669,0.0,154
卡西法,207.340231,12.918292,,99.0395,27
MyLDSS,206.871192,0.0,,66.6667,2
Jackthepirate,203.485144,9.6310883,,97.4359,26
记录自己丶,203.35611477,25.987469,,86.8644,28
房子徐,201.158877,38.571598,,46.25,24
Captain_Calots,199.722967,0.0,,66.6667,0
CryptoTradingBro,197.1667232,27.056036,,30.0,33
6lowpan,195.851025,18.086729,,92.1053,23
MaestroAI,194.32329698,41.076065,3.91837,90.4762,52
做空才是信仰-牛人榜,193.720794,21.637594,,45.0,12
Kingtour,193.59014647,15.836576,8.02733694,59.4595,44
newNormal,193.3038357,7.2725436,9.79323699,60.8817,43
羽狗狗,192.91534208,26.248499,5.05328287,64.0884,140
OneMillionUSDnsqcotr,192.60371481,11.129632,5.79001125,98.5507,81
nuts交易策略员,190.181406,0.0,,52.7778,2
UnityTrade,189.19435934,18.020672,7.89040639,90.0,44
人为机器人,189.098698,81.897616,,57.7778,4
wulijj,188.971601,3.8150011,,100.0,36
ryseuwu,186.29109655,65.057029,0.03875949,83.3333,88
战士110,186.264857,47.064768,,66.6667,5
多空双吃梭哈怪,185.717764,41.01104,,52.9412,13
带单幸运召唤师,183.23521,0.0,,96.0227,7
MonstersSignals,182.491381,55.376595,2.17982843,49.4505,35
Jasmine_Gemhunter88,180.62246209,40.819556,5.0665001,78.8235,165
康博,180.515021,10.846977,,99.5833,22
Jasmine_99,179.4800138,44.509793,4.76340403,18.3333,149
巨覌,178.74992331,37.224357,3.00661961,53.8462,134
