nickname,roi,mdd,sharpRatio,winRate,tradingDays
Slow_And_Steady_Wins,262.0361217,38.1274,2.88935423,73.6334,36
彬雨星,259.76917269,14.924875,8.73692541,91.3753,98
小杨哥带你飞,256.962154,15.354724,,66.6667,2
墙头草1,251.99117261,55.902641,1.22250743,69.6203,66
Chipi_real,246.59648699,36.613308,2.47459389,65.3846,194
ImperialTrading,245.63953002,58.494293,,74.4589,28
Gotomoom,244.42076644,50.406716,3.49272993,50.0,194
TradeCircle,243.460284,4.2943416,,87.1795,15
量化博士,237.75778561,45.799497,4.17015483,50.0,46
九爷说币,237.136953,24.035278,,43.5897,8
SHTRADERDR,233.674175,0.602122,,100.0,5
平平淡淡的过,232.392066,63.150606,,97.1154,19
Anonymous-User-af658,232.279976,13.454156,,100.0,3
simplelee,231.88599397,78.65462,1.63247554,32.4324,84
Nemo量化,231.53572775,13.704749,2.7607849,83.3333,94
King-of-Candles-VHR,231.015916,44.231538,,95.7692,23
Soulastz,228.933189,76.149354,,96.3158,25
zycparis,227.16605209,44.712031,2.73547447,95.5654,55
TwitterUncleBFM,225.205557,8.3618977,,60.9091,23
B天天向上,224.84805132,64.510545,1.17756345,47.6636,82
主力顺风车,224.80594307,27.438332,5.65690285,97.9021,50
wait_for_opportunity,222.59365435,28.460726,2.63797691,57.1429,115
CryptoClub557,220.595259,100.0,,47.2,20
3倍杠杆保平安,216.933636,3.0324992,,84.2105,25
Copy1Coin,216.909602,22.320238,,42.1053,5
Fight-club-Dubai,214.657438,14.809446,,57.1429,3
挣钱,213.97483027,28.092006,5.38567479,96.7532,45
公主请跟单,212.475986,12.57492,,54.6559,17
Parasitic2Trade,208.70740448,32.319255,2.3088276,82.0513,92
卡西法,206.836624,12.918292,,99.0395,27
代号索尼克,206.201453,38.559915,,55.2632,15
Jackthepirate,203.485144,9.6310883,,97.4359,26
我带你回本,202.84642088,21.171714,4.0226669,0.0,154
记录自己丶,202.01053948,25.987469,,86.7521,28
KylieMP3,201.594129,62.722853,,71.4286,8
房子徐,201.158877,38.571598,,46.25,24
NhuquynhCsK,198.729479,76.40146,,68.4211,19
CryptoTradingBro,196.04746079,27.056036,,30.0,33
做空才是信仰-牛人榜,193.847875,21.637594,,40.0,12
newNormal,193.07209658,7.2725436,9.79323699,60.8348,43
OneMillionUSDnsqcotr,192.75825084,11.129632,5.79001125,99.2701,81
Kingtour,189.98647409,15.836576,8.02733694,58.1081,44
