nickname,roi,mdd,sharpRatio,winRate
magic112,432.138464,24.358122,,52.0548
达波牛牛,427.348924,47.331275,3.50623045,60.0
KANGA-鱼儿姐姐,426.184736,19.501751,,90.0662
老佛教徒,426.183606,10.322729,,80.0
X268dragon_power,424.218869,34.468043,,57.8652
P4PTI,424.086222,51.083071,4.57398196,76.7857
马有才,422.15138012,37.191717,3.13563881,0.0
GPSv6-OrderTrade789,420.337769,24.116174,,78.3784
Kenzy2024,418.831566,60.67368,3.6374841,66.6667
Fomo2024,411.62233882,24.790366,5.30824517,75.9398
2013老韭菜,408.578615,87.247367,3.64513786,63.5135
稳健修仙,406.24767675,30.348808,3.83009981,60.0
WannaCrazyZz,403.84803665,46.565214,3.88179431,70.7317
Crypto4ucapital,403.591157,63.50056,3.90753636,78.5714
币海捞金库,402.772964,23.869868,,75.0
前进的路啊,399.573675,4.7645996,,94.7368
MoleyManeki,399.378146,59.954957,4.65257045,77.1084
1000搞到100万U,397.87942356,52.783413,3.39967399,25.0
创投增值,396.712303,15.230245,9.39249696,85.3503
Meta_wu,394.449381,35.702246,7.25602511,78.9116
collectcoin,393.871784,37.201933,6.63781998,47.0588
XMultichain_Pro,388.11087185,48.596322,4.39540773,82.5123
主力顺风车,387.934047,42.571232,5.89910369,98.6301
dream95,387.481386,62.15548,3.89688301,87.1345
cryptohabercom,387.41902621,36.521959,4.10563261,67.1642
newNormal,384.090802,7.2725436,9.61668751,62.0597
Trader_AT,380.92810793,49.58966,2.27773875,74.2857
theschool,375.57479753,48.127577,3.51112925,97.7974
Trader_Rony,375.140747,31.602808,,83.8983
Profit_Mike,373.330111,12.458573,10.27821172,95.8838
灯湖西路边揸兜,372.584581,55.825844,,49.4382
Choikuychol,370.305426,7.1470415,,97.7528
琴动五音,367.003893,17.672247,,80.0
AnalyticExcellence,366.085495,35.455865,6.05172663,86.6667
玄学-低调,363.18270099,67.338781,3.81280065,0.0
HoangthaiCrypto1994,360.764872,94.220999,,50.0
VClub-Resory,359.5403502,50.155101,4.45134818,42.6778
区块狂人,358.037714,0.0,,100.0
ToRiches,353.244506,23.703492,8.96686564,78.7692
LoveCoin10000Years,351.776148,21.356439,,78.0769
产U哥,349.417316,100.00013,3.72106804,59.8456
wait_for_opportunity,348.58255068,37.183755,2.65348473,57.1429
Miracle856,345.91246572,52.507654,3.86030824,80.4348
RideTheWave,342.9962372,21.749043,4.44590127,89.6848
人为机器人,340.438687,10.867422,,62.5
360麦兜,337.35787041,74.345669,2.2515859,67.1875
Gotomoom,335.32142376,68.313368,3.56557455,53.8462
龟兔赛跑985,333.128206,14.17267,,94.5652
小呀小白菜,326.48266897,32.201135,5.06980176,68.1983
Jasmine_99,325.72033878,52.730934,4.93270988,38.3721
Lahiko,323.608271,43.473467,3.74457002,68.4211
吸油侠,323.20714233,77.900812,3.87570174,85.7143
睡后收入,321.5075,31.278181,5.91609159,86.3636
Colonel_Alexandro,318.68762,13.918417,,75.0
速歌百倍,316.589833,37.22852,,67.033
盈利之前学会亏损,316.038792,22.618539,,75.0
Crypto-Falcon,314.4161668,61.522449,2.39618618,63.5593
CryptoClub557,309.920599,100.0,,49.7872
量化博士,309.344813,49.529156,4.3442239,55.5556
Syscott,307.819341,23.724191,,92.3077
半木夏短线小号,307.328379,16.101049,,75.0
JOHNPAUL_88,306.75524872,37.021199,4.017661,96.9892
山顶资本-美团1号,304.81407285,45.95048,6.05560932,85.9813
618带你发,302.547996,5.0314772,,75.0
President_LD,301.626937,8.748595,,75.0
比特圣手,301.188733,0.0,,60.0
5倍滚仓不死战神,298.200452,88.629768,4.08511921,46.8085
叶凡--,295.652522,7.921508,,76.7677
LOW-RISK,295.303655,11.254597,,58.3706
当代利弗莫尔,291.309471,16.207076,7.16112439,46.9388
100WW,290.7781646,49.029203,4.10513683,68.2171
唐宋747,290.669645,71.147276,4.15464611,79.8387
特奥乌昂,288.577192,43.62862,3.91419061,76.5625
KARAMANOGLU21,287.441395,18.319701,,88.7755
ImperialTrading,286.706797,58.494293,,73.0088
Awmmm,286.506733,31.227558,4.45410073,52.1739
Dr_Futures,284.333238,22.814905,,86.3481
Hip-hop,283.22619038,25.569083,4.12059455,69.5652
交易员Z,281.756029,10.58683,,80.0
KevinEasyMoneySniper,280.36351883,60.705862,3.48377819,50.0
财气通门户,279.84032706,48.560727,3.26408116,50.0
Roger_sh,275.54720148,49.165238,4.85179077,48.5714
CHULTOOx5,275.39566666,13.054569,6.58742994,73.9382
九爷说币,274.093023,14.938004,,43.5897
DonFlamengo,272.55524384,27.89911,3.94689424,98.6569
我不是卡卡ovo,270.894485,34.390595,,55.5556
Salahuddin2004,270.162161,19.976023,7.49131627,100.0
Relax6868,270.017783,17.431651,,88.2353
尤里克克克克,268.487798,22.336263,8.50633884,84.4156
kimyagerr,267.402528,94.550754,,81.5534
珠穆,266.91428267,39.141642,4.02798152,71.1268
盈1009,266.32089758,24.032527,5.32911593,71.0843
YIRANKYM,264.884377,14.842833,5.9743325,69.1729
Cassandra_OCTA,263.251562,11.438007,5.77934386,78.2609
TradeLabs-2X-Monthly,259.302645,0.0,,96.6292
记录自己丶,259.277271,25.987469,,86.8996
TraderCES,258.9451018,42.454967,3.75855726,76.4228
TradeAcademy,257.439378,20.410764,,100.0
上天揽月下海捉鳖,256.826914,56.242845,,92.8571
200U起家,255.539645,83.776735,3.74043295,91.129
Can1m,254.947809,67.700341,3.2515418,40.625
mj2thoo,253.72636967,69.692,3.50770979,44.8276
PlymouthBot,252.795154,16.031104,8.60352649,91.716
Sekula123,252.16965465,43.62296,4.03491607,50.0
The_CryptoPanda,251.771319,18.640615,7.12759904,88.3459
x_Blue,245.58505193,12.994302,6.32164585,71.3354
Mr-Ghith,244.564695,54.984322,,60.0
中山桥币哥,243.469496,7.5463211,,84.6154
TradeCircle,242.235509,4.6356268,,85.034
Jeronimo_Trader,240.26363074,45.581684,3.87296955,99.5738
unclelulu,239.967527,77.49038,4.31452155,87.2727
op忝列,239.63274,0.0,,50.0
房子徐,239.005532,37.189494,,45.8333
updown28,238.69221,12.491323,,77.0035
王阳明-知行合一,238.64690075,16.360373,5.64356785,55.0
Cryptoxn,236.37465167,4.6521042,6.9702569,73.029
Wolf-AI,234.99102679,9.1774041,6.21582011,71.7092
穩定暴擊,233.189296,0.0,,0.0
King-of-Candles-VHR,233.035225,44.231538,,95.6815
KABUVERDIANU-MIDAS,231.584741,60.390341,,86.4865
