Date: 2022-12-20 14:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1212.42
Date: 2022-12-20 20:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1212.5
Date: 2022-12-21 02:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1217.0
Date: 2022-12-21 08:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1210.61
Date: 2022-12-21 14:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1216.66
Date: 2022-12-21 20:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1211.8
Date: 2022-12-22 02:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1213.85
Date: 2022-12-22 08:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1211.2
Date: 2022-12-22 14:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1217.39
Date: 2022-12-22 20:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1187.31
Date: 2022-12-23 02:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1218.06
Date: 2022-12-23 08:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1221.35
Date: 2022-12-23 14:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1222.93
Date: 2022-12-23 20:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1219.22
Date: 2022-12-24 02:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1220.01
Date: 2022-12-24 08:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1216.86
Date: 2022-12-24 14:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1218.97
Date: 2022-12-24 20:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1219.65
Date: 2022-12-25 02:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1220.68
Date: 2022-12-25 08:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1219.23
Date: 2022-12-25 14:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1217.75
Date: 2022-12-25 20:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1209.49
Date: 2022-12-26 02:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1218.64
Date: 2022-12-26 08:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1219.7
Date: 2022-12-26 14:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1220.64
Date: 2022-12-26 20:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1215.08
Date: 2022-12-27 02:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1227.74
Date: 2022-12-27 08:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1222.69
Date: 2022-12-27 14:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1219.5
Date: 2022-12-27 20:00:00+08:00, Position: 1.525881802658824, Balance: 3687.3544113971543, Price: 1207.31
Date: 2022-12-28 02:00:00+08:00, Position Closed: 0, Balance: 3767.7574340121037, PnL: 80.4030226149495, Price: 1211.56
Date: 2022-12-28 02:00:00+08:00, Position: 0, Balance: 3767.7574340121037, Price: 1211.56
Date: 2022-12-28 08:00:00+08:00, Position: 0, Balance: 3767.7574340121037, Price: 1191.19
Date: 2022-12-28 14:00:00+08:00, Position: 0, Balance: 3767.7574340121037, Price: 1195.91
Date: 2022-12-28 20:00:00+08:00, Position: 0, Balance: 3767.7574340121037, Price: 1196.44
Date: 2022-12-29 02:00:00+08:00, Position: 0, Balance: 3767.7574340121037, Price: 1190.62
Date: 2022-12-29 08:00:00+08:00, Position: 0, Balance: 3767.7574340121037, Price: 1195.0
Date: 2022-12-29 14:00:00+08:00, Position: 0, Balance: 3767.7574340121037, Price: 1199.05
Date: 2022-12-29 20:00:00+08:00, Position: 0, Balance: 3767.7574340121037, Price: 1198.17
Date: 2022-12-30 02:00:00+08:00, Position: 0, Balance: 3767.7574340121037, Price: 1200.5
Date: 2022-12-30 08:00:00+08:00, Position: 0, Balance: 3767.7574340121037, Price: 1194.35
Date: 2022-12-30 14:00:00+08:00, Position: 0, Balance: 3767.7574340121037, Price: 1190.73
Date: 2022-12-30 20:00:00+08:00, Position: 0, Balance: 3767.7574340121037, Price: 1195.7
Date: 2022-12-31 02:00:00+08:00, Position: 0, Balance: 3767.7574340121037, Price: 1199.76
Date: 2022-12-31 08:00:00+08:00, Position: 0, Balance: 3767.7574340121037, Price: 1193.66
Date: 2022-12-31 14:00:00+08:00, Position: 0, Balance: 3767.7574340121037, Price: 1197.05
Date: 2022-12-31 20:00:00+08:00, Position start : 1.5684220001215952, Balance: 3767.7574340121037, Price: 1201.13
Date: 2022-12-31 20:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1201.13
Date: 2023-01-01 02:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1196.44
Date: 2023-01-01 08:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1194.69
Date: 2023-01-01 14:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1196.15
Date: 2023-01-01 20:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1200.63
Date: 2023-01-02 02:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1200.45
Date: 2023-01-02 08:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1201.95
Date: 2023-01-02 14:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1217.38
Date: 2023-01-02 20:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1216.78
Date: 2023-01-03 02:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1213.87
Date: 2023-01-03 08:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1217.85
Date: 2023-01-03 14:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1215.11
Date: 2023-01-03 20:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1209.11
Date: 2023-01-04 02:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1214.6
Date: 2023-01-04 08:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1247.93
Date: 2023-01-04 14:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1251.29
Date: 2023-01-04 20:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1260.69
Date: 2023-01-05 02:00:00+08:00, Position: 1.5684220001215952, Balance: 3767.7574340121037, Price: 1257.0
