ts,open,high,low,close,vol
2023-06-23 00:00:00,29886.9,30198.0,29800.0,30144.0,3765.08854096
2023-06-23 12:00:00,30144.0,31456.0,29928.6,30690.2,19650.67350392
2023-06-24 00:00:00,30690.3,30795.0,30406.5,30684.9,2869.27703587
2023-06-24 12:00:00,30684.9,30800.1,30253.2,30530.0,3323.0660577
2023-06-25 00:00:00,30530.0,31044.5,30467.1,30717.9,4177.46813237
2023-06-25 12:00:00,30718.0,30736.0,30280.0,30467.5,3006.00563232
2023-06-26 00:00:00,30467.6,30579.3,29962.0,30323.3,5072.18554131
2023-06-26 12:00:00,30323.2,30661.0,29913.2,30267.6,6105.97179423
2023-06-27 00:00:00,30267.7,30788.7,30230.1,30731.9,3742.32947278
2023-06-27 12:00:00,30732.0,30999.0,30373.8,30692.9,7401.02984105
2023-06-28 00:00:00,30693.0,30708.9,30146.0,30308.4,3353.96998555
2023-06-28 12:00:00,30308.4,30494.3,29843.0,30073.0,6686.26989426
2023-06-29 00:00:00,30072.9,30751.3,30047.3,30670.0,4144.86280533
2023-06-29 12:00:00,30670.0,30839.9,30234.9,30453.5,4526.38580691
2023-06-30 00:00:00,30453.6,31290.0,30351.0,30907.8,8252.24330752
2023-06-30 12:00:00,30907.9,31129.2,29419.0,30475.5,19333.48799789
2023-07-01 00:00:00,30475.4,30597.9,30325.2,30524.9,2062.88346703
2023-07-01 12:00:00,30524.8,30665.6,30508.2,30588.1,1239.409026
2023-07-02 00:00:00,30588.1,30651.4,30463.1,30544.8,1145.25319448
2023-07-02 12:00:00,30544.9,30800.4,30162.7,30615.6,3512.38292528
2023-07-03 00:00:00,30615.7,30800.0,30588.0,30626.8,2878.67203052
2023-07-03 12:00:00,30624.0,31389.0,30572.0,31161.0,6418.01884841
2023-07-04 00:00:00,31161.1,31324.9,30868.8,31069.7,3290.52252781
2023-07-04 12:00:00,31069.7,31132.0,30625.3,30765.9,2616.98784547
2023-07-05 00:00:00,30766.0,30877.5,30342.2,30403.1,2924.66769911
2023-07-05 12:00:00,30403.0,30604.0,30200.0,30505.0,3347.33215876
2023-07-06 00:00:00,30505.0,31550.0,30331.2,30848.1,8156.34560354
2023-07-06 12:00:00,30848.1,30883.3,29855.0,29893.0,8092.37819529
2023-07-07 00:00:00,29893.1,30304.5,29705.2,30119.9,4321.7687522
2023-07-07 12:00:00,30119.5,30451.0,30044.1,30344.8,3330.5926095
2023-07-08 00:00:00,30344.9,30383.3,30144.1,30200.9,1365.2491404
2023-07-08 12:00:00,30200.9,30326.8,30043.6,30286.3,1123.061494
2023-07-09 00:00:00,30286.4,30405.9,30236.8,30271.7,878.61697491
2023-07-09 12:00:00,30271.7,30454.0,30067.1,30162.8,1719.89851983
2023-07-10 00:00:00,30164.9,30257.9,29946.7,30241.5,2393.98372853
2023-07-10 12:00:00,30241.6,31045.7,30141.2,30414.2,6205.95532564
2023-07-11 00:00:00,30414.2,30657.0,30348.0,30408.8,2576.10873685
2023-07-11 12:00:00,30408.8,30812.5,30291.4,30622.0,4001.27493116
2023-07-12 00:00:00,30622.0,30847.0,30504.0,30775.4,2498.43965147
2023-07-12 12:00:00,30776.3,30980.0,30211.0,30381.5,5969.12744866
2023-07-13 00:00:00,30381.5,30638.8,30257.1,30545.0,2783.95387036
2023-07-13 12:00:00,30545.0,31830.0,30466.8,31454.5,14841.32746664
2023-07-14 00:00:00,31456.3,31637.8,31078.3,31208.5,4083.68790711
2023-07-14 12:00:00,31208.6,31358.6,29900.7,30310.1,10249.54973006
2023-07-15 00:00:00,30310.1,30395.0,30234.0,30313.2,2131.77139942
2023-07-15 12:00:00,30313.3,30361.0,30245.1,30291.8,1176.08275173
2023-07-16 00:00:00,30291.9,30348.0,30059.6,30303.4,2640.56326669
2023-07-16 12:00:00,30303.4,30440.0,30129.3,30231.3,1743.40698895
2023-07-17 00:00:00,30231.4,30330.8,29958.2,30162.0,2497.93758442
2023-07-17 12:00:00,30161.7,30305.3,29653.1,30136.3,4626.74370004
2023-07-18 00:00:00,30136.3,30239.6,29806.6,29885.1,2963.8906921
2023-07-18 12:00:00,29885.1,30031.9,29500.0,29858.0,4825.71302876
2023-07-19 00:00:00,29858.1,30187.7,29839.6,30015.7,2133.70415511
2023-07-19 12:00:00,30015.7,30129.2,29757.4,29911.8,2470.36013889
2023-07-20 00:00:00,29911.7,30416.0,29882.0,30283.3,2579.46143952
2023-07-20 12:00:00,30283.4,30318.8,29560.7,29808.3,5133.45786282
2023-07-21 00:00:00,29808.4,29951.2,29721.5,29781.4,1748.48457629
